transaction_id,user_id,merchant_id,amount,currency,status,timestamp,payment_method,payment_provider,country,response_code,response_message,fee_percentage,transaction_fee,net_amount,device_type,ip_address,user_agent,attempt_number,processing_time_ms,three_ds_verified,installments,category,is_international,settlement_date
TXN00000001,6719,735,14.89,CLP,approved,2025-09-18 19:17:10+00:00,debit_card,Visa Debit,CL,00,Transaction approved,3.46,0.52,14.37,desktop,6.47.74.125,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 5.0; Trident/3.1),1,1491,True,1,retail,False,2025-09-20
TXN00000002,4754,465,14.29,MXN,approved,2025-10-21 17:30:55+00:00,credit_card,Diners Club,MX,00,Transaction approved,2.97,0.42,13.87,mobile,223.221.30.50,Opera/8.91.(Windows NT 5.2; ce-RU) Presto/2.9.162 Version/11.00,1,2275,True,1,other,False,2025-10-22
TXN00000003,2912,586,78.59,USD,approved,2025-11-09 11:20:36+00:00,ewallet,Rappi Pay,MX,00,Transaction approved,3.01,2.37,76.22,mobile,206.222.70.216,Mozilla/5.0 (Windows NT 5.0; wo-SN; rv:1.9.1.20) Gecko/6415-08-24 00:17:00 Firefox/3.8,1,2010,,1,other,True,2025-11-11
TXN00000005,8637,677,30.44,CLP,approved,2025-09-18 09:05:41+00:00,ewallet,MercadoPago,CL,00,Transaction approved,3.52,1.07,29.37,api,69.64.60.54,API/1.0,1,1920,,1,entertainment,False,2025-09-19
TXN00000006,1380,918,24.15,MXN,approved,2025-10-21 17:56:43+00:00,credit_card,American Express,MX,00,Transaction approved,3.28,0.79,23.36,mobile,67.79.20.146,Opera/8.16.(X11; Linux x86_64; bem-ZM) Presto/2.9.172 Version/12.00,1,2105,True,1,retail,False,2025-10-23
TXN00000007,4426,940,22.24,COP,approved,2025-10-19 07:29:09+00:00,debit_card,Mastercard Debit,CO,00,Transaction approved,2.6,0.58,21.66,mobile,8.79.184.90,"Mozilla/5.0 (Linux; Android 7.1.1) AppleWebKit/531.0 (KHTML, like Gecko) Chrome/21.0.885.0 Safari/531.0",1,602,True,1,services,False,2025-10-21
TXN00000008,8087,354,20.61,BRL,approved,2025-10-08 05:02:49+00:00,debit_card,Visa Debit,BR,00,Transaction approved,3.25,0.67,19.94,desktop,29.36.121.196,Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_5_9; rv:1.9.4.20) Gecko/8261-11-16 02:07:08 Firefox/3.8,1,2856,True,1,utilities,False,2025-10-09
TXN00000009,2684,589,94.06,USD,approved,2025-10-07 15:18:08+00:00,credit_card,American Express,MX,00,Transaction approved,3.12,2.93,91.13,mobile,144.90.101.191,"Mozilla/5.0 (iPad; CPU iPad OS 17_3_1 like Mac OS X) AppleWebKit/532.1 (KHTML, like Gecko) CriOS/37.0.829.0 Mobile/12Y368 Safari/532.1",1,1304,True,12,tech,True,2025-10-09
TXN00000010,4502,636,20.96,COP,approved,2025-10-29 13:42:58+00:00,bank_transfer,PIX,CO,00,Transaction approved,1.88,0.39,20.57,mobile,89.103.172.101,"Mozilla/5.0 (Windows NT 6.2) AppleWebKit/536.0 (KHTML, like Gecko) Chrome/26.0.810.0 Safari/536.0",1,2226,,1,food_beverage,False,2025-10-30
TXN00000011,3172,412,66.55,BRL,approved,2025-09-12 19:00:01+00:00,credit_card,American Express,BR,00,Transaction approved,3.18,2.12,64.43,mobile,156.191.114.196,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.01; Trident/3.1),1,2885,False,1,services,False,2025-09-13
